date,xejVolatility,cloudCover
2019-05-01,147.7998046875,52
2019-05-02,160.2998046875,49
2019-05-03,159.8994140625,62
2019-05-06,284.1005859375,0
2019-05-07,124.1005859375,31
2019-05-08,172.7998046875,68
2019-05-09,213.2998046875,89
2019-05-10,172.7998046875,58
2019-05-13,0.0,54
2019-05-14,202.1005859375,3
2019-05-15,193.6005859375,6
2019-05-16,248.5,0
2019-05-17,172.900390625,17
2019-05-20,136.0,45
2019-05-21,150.2998046875,51
2019-05-22,141.6005859375,16
2019-05-23,160.3994140625,43
2019-05-24,381.8994140625,56
2019-05-27,129.80078125,74
2019-05-28,148.400390625,59
2019-05-29,187.7998046875,46
2019-05-30,204.5,48
2019-05-31,263.2001953125,85
2019-06-03,216.599609375,58
2019-06-04,96.5,67
2019-06-05,182.0,49
2019-06-06,170.099609375,33
2019-06-07,160.7001953125,2
2019-06-11,213.2001953125,43
2019-06-12,96.7001953125,62
2019-06-13,270.0,59
2019-06-14,221.599609375,81
2019-06-17,133.5,70
2019-06-18,120.099609375,35
2019-06-19,273.5,51
2019-06-20,263.900390625,89
2019-06-21,275.7998046875,27
2019-06-24,82.19921875,66
2019-06-25,111.19921875,36
2019-06-26,66.0,7
2019-06-27,131.7001953125,7
2019-06-28,226.599609375,45
2019-07-01,219.400390625,64
2019-07-02,142.0,74
2019-07-03,249.7001953125,30
2019-07-04,122.2998046875,4
2019-07-05,180.0,33
2019-07-08,96.7001953125,43
2019-07-09,116.2998046875,15
2019-07-10,88.099609375,46
2019-07-11,152.900390625,63
2019-07-12,96.2998046875,73
2019-07-15,128.5,97
2019-07-16,171.7001953125,92
2019-07-17,126.19921875,78
2019-07-18,277.400390625,59
2019-07-19,152.0,25
2019-07-22,148.599609375,34
2019-07-23,148.2001953125,57
2019-07-24,139.099609375,75
2019-07-25,75.1005859375,85
2019-07-26,119.5,67
2019-07-29,111.2001953125,57
2019-07-30,77.3994140625,34
2019-07-31,136.8994140625,54
2019-08-01,74.7001953125,52
2019-08-02,299.0,71
2019-08-05,244.7998046875,7
2019-08-06,446.0,37
2019-08-07,126.2001953125,89
2019-08-08,226.30078125,63
2019-08-09,113.2998046875,40
2019-08-12,115.599609375,59
2019-08-13,145.3994140625,48
2019-08-14,149.80078125,0
2019-08-15,563.599609375,59
2019-08-16,116.400390625,64
2019-08-19,239.5,45
2019-08-20,249.2998046875,69
2019-08-21,123.8994140625,59
2019-08-22,229.0,66
2019-08-23,87.7001953125,12
2019-08-26,368.5,25
2019-08-27,83.2001953125,44
2019-08-28,119.5,58
2019-08-29,159.30078125,23
2019-08-30,218.0,0
2019-09-02,166.5,33
2019-09-03,109.7001953125,35
2019-09-04,134.69921875,87
2019-09-05,215.7998046875,53
2019-09-06,170.2001953125,54
2019-09-09,49.2001953125,18
2019-09-10,268.900390625,60
2019-09-11,122.2001953125,17
2019-09-12,171.099609375,17
2019-09-13,99.5,16
2019-09-16,619.2998046875,62
2019-09-17,141.7998046875,4
2019-09-18,243.8994140625,24
2019-09-19,137.30078125,87
2019-09-20,68.69921875,100
2019-09-23,130.0,56
2019-09-24,65.2001953125,42
2019-09-25,203.6005859375,41
2019-09-26,148.2001953125,34
2019-09-27,138.0,22
2019-09-30,143.30078125,8
2019-10-01,149.19921875,12
2019-10-02,170.2001953125,9
2019-10-03,378.5,50
2019-10-04,98.69921875,92
2019-10-07,131.7001953125,78
2019-10-08,154.0,64
2019-10-09,195.099609375,28
2019-10-10,117.7001953125,9
2019-10-11,169.0,2
2019-10-14,339.2998046875,25
2019-10-15,130.5,55
2019-10-16,149.3994140625,58
2019-10-17,96.1005859375,25
2019-10-18,136.2001953125,42
2019-10-21,107.599609375,34
2019-10-22,118.900390625,43
2019-10-23,86.30078125,0
2019-10-24,202.7998046875,28
2019-10-25,70.2001953125,53
2019-10-28,101.6005859375,5
2019-10-29,90.5,31
2019-10-30,122.099609375,15
2019-10-31,127.7998046875,48
2019-11-01,164.6005859375,98
2019-11-04,171.3994140625,40
2019-11-05,123.7001953125,72
2019-11-06,136.69921875,59
2019-11-07,149.2998046875,82
2019-11-08,206.2998046875,43
2019-11-11,134.400390625,35
2019-11-12,88.2001953125,80
2019-11-13,143.7001953125,43
2019-11-14,82.2001953125,65
2019-11-15,108.400390625,78
2019-11-18,71.7001953125,13
2019-11-19,119.2998046875,30
2019-11-20,201.19921875,24
2019-11-21,131.900390625,41
2019-11-22,194.30078125,49
2019-11-25,163.400390625,68
2019-11-26,258.2998046875,34
2019-11-27,126.69921875,0
2019-11-28,90.599609375,16
2019-11-29,84.2998046875,58
2019-12-02,99.900390625,75
2019-12-03,227.2998046875,60
2019-12-04,0.0,46
2019-12-05,205.8994140625,23
2019-12-06,82.30078125,35
2019-12-09,209.30078125,77
2019-12-10,100.900390625,18
2019-12-11,0.0,61
2019-12-12,86.400390625,36
2019-12-13,130.1005859375,61
2019-12-16,170.7998046875,18
2019-12-17,55.80078125,52
2019-12-18,26.7001953125,16
2019-12-19,141.900390625,1
2019-12-20,138.099609375,33
2019-12-23,81.19921875,86
2019-12-24,121.30078125,33
2019-12-27,54.2001953125,31
2019-12-30,99.599609375,44
