date,xejVolatility,cloudCover,viterbi_state_index,viterbi_state_label,posterior_low,posterior_normal,posterior_high,state_entropy
2022-02-17,194.7998046875,80,1,Low Volatility,0.40890350599719133,0.5885249887207591,0.0025715052822570103,0.693005407397016
2022-02-18,137.0,62,1,Low Volatility,0.7652796637131383,0.23341135069796948,0.0013089855890564474,0.5530152095884868
2022-02-21,134.2998046875,67,1,Low Volatility,0.811629391464022,0.18735258646566583,0.0010180220705099312,0.4901815871250317
2022-02-22,181.0,0,1,Low Volatility,0.6382720067128568,0.36157492269344643,0.00015307059397947313,0.6557479968350264
2022-02-23,136.900390625,0,1,Low Volatility,0.6486577492596421,0.3508190876164041,0.0005231631241651662,0.6522019555754327
2022-02-24,350.1005859375,1,0,Normal Volatility,5.576736994395685e-08,0.9881724780819525,0.01182746615083381,0.06424061079325423
2022-02-25,198.80078125,31,0,Normal Volatility,0.053592939937782504,0.917224424717292,0.029182635344872563,0.3392188136173634
2022-02-28,198.2998046875,68,0,Normal Volatility,0.05892048521777517,0.8208900094937214,0.12018950528858353,0.5834969406003907
2022-03-01,182.5,46,0,Normal Volatility,0.056481255241900216,0.6335213332194547,0.30999741153870336,0.8145629009947373
2022-03-02,463.1005859375,23,2,High Volatility,3.935438319003335e-19,0.01535556222121141,0.9846444377784441,0.0793661466148543
2022-03-03,378.2001953125,60,2,High Volatility,6.404543729533138e-13,0.0065603792858581755,0.9934396207132361,0.03951591635877951
2022-03-04,234.30078125,81,2,High Volatility,1.1792043094725952e-05,0.018373576906838354,0.9816146310501304,0.09178540783223421
2022-03-07,604.7001953125,69,2,High Volatility,1.9094572054508206e-38,1.4159162405454548e-06,0.9999985840841893,2.0485097700975177e-05
2022-03-08,361.7001953125,30,2,High Volatility,3.2471330647357322e-15,0.16222463415483865,0.8377753658453245,0.44334048734897746
2022-03-09,205.7998046875,18,2,High Volatility,0.004808298737613777,0.5181244850566601,0.47706721620612547,0.7194277509583327
2022-03-10,418.099609375,28,2,High Volatility,2.637593064421377e-13,0.522465432226976,0.47753456777234704,0.6921374493777659
2022-03-11,151.5,9,0,Normal Volatility,0.21590256396762356,0.6749667259531629,0.10913071007879112,0.8380343664821692
2022-03-14,171.80078125,63,0,Normal Volatility,0.20542128993371098,0.6974891590271913,0.09708955103903438,0.8028265716918861
2022-03-15,380.2001953125,34,0,Normal Volatility,3.736493624992864e-10,0.875976304019084,0.12402369560701129,0.3748660019525042
2022-03-16,204.400390625,89,0,Normal Volatility,0.09953630011736916,0.8655747940009614,0.034888905881661145,0.4716818293306223
